jogador,idade,nacionalidade,time,valor,posicao
K. Oldenburger,22,Netherlands,FC Emmen,150K,RM
M. Lema,18,Austria,SK Sturm Graz,210K,RM
A. Al Riou,24,Saudi Arabia,Al Hazem,110K,LB
N. Cordero,19,Argentina,Club Atlético Huracán,220K,ST
J. Rodríguez,20,Mexico,Puebla FC,160K,CM
H. Abu Sharara,21,Saudi Arabia,Al Qadisiyah,160K,RM
B. Hussein,18,Sweden,AIK,230K,CM
H. Pernía,27,Venezuela,Atlético Bucaramanga,100K,CB
V. Ekani,21,Cameroon,SønderjyskE,230K,CM
L. Gordon,22,Scotland,St. Johnstone FC,140K,CB
V. Karakuş,20,Turkey,Kayserispor,130K,GK
M. Al Zubaidi,20,Saudi Arabia,Al Ahli,160K,LB
A. Al Bishi,22,Saudi Arabia,Al Qadisiyah,140K,CB
R. Lloyd,24,England,Macclesfield Town,140K,LM
G. Siadas,18,Germany,Fortuna Düsseldorf,190K,LB
M. Asiri,25,Saudi Arabia,Al Qadisiyah,90K,GK
S. Coly,20,Senegal,Ascoli,230K,ST
C. Coventry,18,Republic of Ireland,West Ham United,210K,CM
J. Ponceau,17,France,FC Lorient,210K,CAM
R. Noda,29,Japan,Shonan Bellmare,100K,RM
Qiu Shengjiong,32,China PR,Shanghai Greenland Shenhua FC,60K,GK
M. Al Haidari,22,Saudi Arabia,Al Hilal,110K,GK
K. Stamatopoulos,38,Canada,AIK,10K,GK
Y. Lenze,17,Germany,FC Schalke 04,190K,GK
F. Chenkam,19,Cameroon,Seattle Sounders FC,220K,ST
R. Edmondson,17,England,Leeds United,230K,ST
M. Klass,19,England,Southend United,180K,CM
J. Vom Steeg,21,United States,LA Galaxy,130K,GK
E. Palacios,21,Colombia,Alianza Petrolera,140K,RB
Kim Joon Beom,20,Korea Republic,Gyeongnam FC,170K,LM
A. Campbell,23,England,Carlisle United,140K,RM
H. Pritchard,25,England,Blackpool,130K,LM
K. Engbers,18,Netherlands,FC Emmen,140K,CB
K. Wootton,21,England,Scunthorpe United,150K,ST
U. Türker,20,Turkey,Alanyaspor,230K,CM
L. Malicsek,19,Austria,FC Admira Wacker Mödling,200K,RCM
K. da Graca,20,Sweden,IFK Göteborg,180K,CB
B. Maguire,20,Scotland,Motherwell,210K,CB
J. Padilla,19,Mexico,Pachuca,220K,RW
I. Shinozuka,23,Russia,Yokohama F. Marinos,140K,RM
S. Palma,18,Colombia,Once Caldas,190K,CB
C. Crane,22,Scotland,Livingston FC,140K,LB
A. Rizzo,19,Italy,Palermo,220K,LW
D. Lyness,26,England,St. Mirren,90K,GK
J. Holldack,22,Germany,KFC Uerdingen 05,160K,CDM
A. Goelzer,19,France,Valenciennes FC,200K,LB
A. Mironov,18,Russia,Lokomotiv Moscow,210K,CM
G. Gbellé,25,France,Paris FC,130K,CM
T. Abrahams,19,England,Exeter City,180K,ST
S. Ben Amar,20,Morocco,Nîmes Olympique,190K,ST
M. Gillam,19,England,Rochdale,180K,ST
F. Kaya,18,Turkey,FC Ingolstadt 04,220K,ST
J. Zea,19,Colombia,Deportivo Cali,220K,ST
D. Spence,17,England,Middlesbrough,180K,RB
I. Turner,29,Republic of Ireland,St. Patrick's Athletic,100K,RM
Cong Zhen,21,China PR,Shanghai Greenland Shenhua FC,150K,CM
M. Norman,21,England,Rochdale,150K,GK
E. Mahmutovic,21,Luxembourg,Yeovil Town,150K,CB
Vasco Paciência,18,Portugal,Boavista FC,220K,ST
F. Akammadu,19,Italy,Tranmere Rovers,220K,ST
S. Shotton,17,England,Bury,140K,CB
A. Hindi,21,Saudi Arabia,Al Ahli,180K,CB
C. Nicell,18,Republic of Ireland,Leeds United,210K,CM
J. Truque,19,Colombia,Once Caldas,180K,GK
H. Douglas,25,Republic of Ireland,Bray Wanderers,110K,CB
S. Dieng,23,Switzerland,Stevenage,100K,GK
A. Adetula,20,Germany,Eintracht Braunschweig,170K,LW
B. Alférez,20,Argentina,Godoy Cruz,150K,CB
D. Mitov,21,Bulgaria,Cambridge United,90K,GK
M. Galé,22,Colombia,La Equidad,110K,CDM
R. Harvey,18,England,Millwall,190K,RM
J. McMillan,20,Scotland,Livingston FC,140K,LB
H. Clifton,20,England,Grimsby Town,160K,LCM
T. Heward-Belle,21,Australia,Sydney FC,140K,GK
S. Long,23,England,Oxford United,110K,RB
J. Simonsen,22,Denmark,SønderjyskE,110K,RB
P. Sánchez,20,Chile,CD Everton de Viña del Mar,130K,CM
A. Høvenhoff,28,Denmark,Vendsyssel FF,90K,CM
R. Koot,18,Netherlands,Fortuna Sittard,120K,GK
J. Pourtau,18,Argentina,Estudiantes de La Plata,150K,GK
D. Mushitu,18,Sweden,AIK,190K,ST
M. Berisha,20,Kosovo,1. FC Magdeburg,200K,CF
M. Harris,19,Wales,Newport County,200K,ST
Gao Tianyi,20,China PR,Jiangsu Suning FC,130K,CDM
J. Al Dossary,24,Saudi Arabia,Al Faisaly,100K,LB
L. Seydoux,20,Switzerland,BSC Young Boys,140K,RB
D. Mena,21,Colombia,Boyacá Chicó FC,140K,RM
A. Medina,20,Mexico,Deportivo Toluca,200K,CM
O. O'Dwyer,20,England,Crystal Palace,160K,CB
M. Parada,20,Chile,CD Antofagasta,160K,CAM
Jo Yong Jae,20,Korea Republic,Daegu FC,160K,RW
M. Wolff,21,Argentina,Club Atlético Tigre,110K,GK
B. Lucumí,24,Colombia,Deportivo Pasto,120K,RM
O. Kensdale,18,England,Colchester United,170K,CB
K. Szymański,25,Poland,Lech Poznań,60K,GK
L. Hardcastle,19,England,Port Vale,130K,CM
O. Malcı,22,Turkey,Çaykur Rizespor,120K,CDM
H. Al Yami,19,Saudi Arabia,Al Qadisiyah,200K,ST
M. Orłowski,24,Poland,Lech Poznań,90K,RB
J. Ferry,21,England,Stevenage,130K,CM
S. Janssen,17,Netherlands,VVV-Venlo,180K,CM
M. Catenacci,17,Sweden,Djurgårdens IF,160K,RB
B. Kennedy,31,Australia,Central Coast Mariners,50K,GK
M. Guel,19,Ivory Coast,FC Lorient,190K,RW
T. Rönning,19,Sweden,IF Elfsborg,110K,GK
A. Jerez,19,Chile,Curicó Unido,110K,GK
M. Pedersen,18,Norway,Tromsø IL,190K,RM
K. Politz,22,United States,New York Red Bulls,120K,CB
A. Grinwis,26,United States,Orlando City SC,80K,GK
K. Shiihashi,21,Japan,Vegalta Sendai,100K,RCM
M. Layer,19,Germany,VfR Aalen,160K,GK
M. Grundmann,20,Germany,FC Energie Cottbus,130K,CB
W. Biedrzycki,20,Poland,Górnik Zabrze,120K,CDM
D. Szczepan,23,Poland,Śląsk Wrocław,110K,ST
D. Baur,19,Scotland,Heart of Midlothian,180K,CB
C. Lang,19,England,Oldham Athletic,190K,RM
C. Ariza,22,Colombia,Jaguares de Córdoba,110K,GK
S. Amin,20,Syria,Örebro SK,130K,CM
D. Hutchinson,21,Republic of Ireland,Waterford FC,120K,CDM
Y. Ben El-Mhanni,22,England,Scunthorpe United,140K,LM
H. Isted,21,England,Luton Town,120K,GK
O. Yilmaz,20,Austria,FC Wacker Innsbruck,140K,ST
R. Caicedo,24,Colombia,Boyacá Chicó FC,90K,GK
G. Kımışır,20,Turkey,Antalyaspor,120K,CB
R. Watson,24,England,Milton Keynes Dons,120K,CM
V. Viot,24,France,AS Béziers,90K,GK
Z. Al Haniti,22,Saudi Arabia,Ohod Club,140K,CB
N. Abdali,20,Saudi Arabia,Al Fayha,160K,ST
S. McWilliams,19,England,Northampton Town,190K,RB
T. Roberts,17,United States,FC Dallas,180K,CAM
J. McDonagh,22,Northern Ireland,Derry City,150K,RM
D. Malhue,23,Chile,Club Deportes Temuco,120K,RW
A. Koldere,18,Turkey,Medipol Başakşehir FK,170K,LB
D. Stynes,19,Australia,Perth Glory,150K,CAM
M. Kos,21,Austria,FK Austria Wien,110K,GK
F. Baptiste,18,England,Crystal Palace,190K,ST
Jeong Chee In,20,Korea Republic,Daegu FC,200K,LW
K. Watts,18,England,Newcastle United,170K,CB
J. Lennon,20,Republic of Ireland,St. Patrick's Athletic,200K,LDM
H. Duman,19,Norway,Strømsgodset IF,150K,CM
N. Anhölcher,18,Germany,VfR Aalen,160K,ST
J. Stenmark,19,Sweden,Kalmar FF,180K,CB
S. Belkahia,19,Germany,TSV 1860 München,120K,CB
C. Tovar,20,Colombia,Deportes Tolima,180K,CB
C. Goslin,18,United States,Atlanta United,200K,CM
B. Stephens,20,England,Macclesfield Town,150K,CAM
Y. Requena,23,Venezuela,Boyacá Chicó FC,120K,RM
K. Cantwell,23,Republic of Ireland,Limerick FC,110K,CB
S. Lavelle,21,Scotland,Morecambe,120K,LCB
M. Rodrigues,21,Switzerland,FC Thun,120K,RCB
Javito,17,Spain,SD Huesca,160K,RB
W. Jakkit,21,Thailand,FC Tokyo,160K,RM
H. St Clair,19,Scotland,Venezia FC,190K,LW
S. Grønli,17,Norway,Tromsø IL,200K,CF
P. Jensen,20,Denmark,FC Nordsjælland,90K,GK
A. Hinds,18,England,Rotherham United,130K,LB
F. Al Rashidi,21,Saudi Arabia,Al Hilal,140K,RM
A. Ávila,20,Mexico,Club Atlas,200K,LM
M. Lis,21,Poland,Wisła Kraków,90K,GK
S. Kawamata,28,Japan,Kashima Antlers,60K,GK
A. Nsakala,18,France,FC Sochaux-Montbéliard,180K,RB
B. Hernández,23,Mexico,Querétaro,110K,LB
C. Carroll,19,Republic of Ireland,Brentford,180K,CB
D. Takahashi,19,Japan,Shimizu S-Pulse,200K,ST
L. Brand,18,Netherlands,Willem II,120K,GK
Liu Yang,23,China PR,Shandong Luneng TaiShan FC,130K,LM
Y. Zummack,22,Germany,VfL Sportfreunde Lotte,90K,GK
R. Feely,21,Republic of Ireland,Waterford FC,140K,RCB
J. Hove,17,Norway,Strømsgodset IF,180K,CM
T. Deters,22,Germany,SV Meppen,130K,CM
H. Bellman,19,Sweden,Östersunds FK,190K,LM
Marc Vito,21,Spain,Girona FC,110K,GK
C. MacPherson,19,Scotland,St. Mirren,190K,CM
C. Rojas,20,Colombia,Envigado FC,140K,ST
A. Cvetkovic,23,Serbia,Grasshopper Club Zürich,110K,RB
R. Okazaki,26,Japan,Shonan Bellmare,90K,CB
R. Wintle,21,England,Crewe Alexandra,140K,LCM
M. Smith,18,Wales,,0,CDM
J. Rees,24,England,Gillingham,110K,CM
K. Ogi,35,Japan,Vissel Kobe,20K,GK
Álvaro Gómez,21,Spain,Albacete BP,150K,CM
T. Makowski,18,Poland,Lechia Gdańsk,180K,CM
C. Sickinger,20,Germany,1. FC Kaiserslautern,140K,CDM
A. Al Bahri,23,Saudi Arabia,Ettifaq FC,100K,GK
K. Dybowski,21,Poland,Piast Gliwice,110K,GK
T. Vermot,21,France,AS Saint-Étienne,110K,GK
Darío Ramos,18,Spain,Albacete BP,150K,GK
E. Lyngdoh,31,India,,0,
R. Escobar,21,Chile,San Luis de Quillota,130K,ST
M. Ogkmpoe,23,Greece,Hamilton Academical FC,130K,ST
N. Pejović,19,Serbia,Empoli,180K,CB
J. Lokilo,19,DR Congo,FC Lorient,190K,RM
Wang Ziming,21,China PR,Beijing Sinobo Guoan FC,140K,ST
T. O'Neill,18,England,Middlesbrough,190K,ST
C. Waters,22,Scotland,Kilmarnock,110K,LB
J. Williams,18,England,Barnsley,170K,RB
K. Mendoza,23,Denmark,AC Horsens,90K,GK
Pedrosa,21,Spain,Real Valladolid CF,140K,ST
F. Becker,18,Germany,FC St. Pauli,180K,CM
J. Brown,20,England,Barnsley,160K,RM
M. Bulka,18,Poland,Chelsea,150K,GK
R. Deprem,20,Sweden,Örebro SK,140K,LW
H. Al Watyan,21,Saudi Arabia,Al Fateh,110K,GK
I. Samba,20,France,AJ Auxerre,150K,RB
S. Tağa,26,Turkey,Yeni Malatyaspor,110K,CM
J. Castillo,19,Chile,Deportes Iquique,190K,LW
O. Şahin,20,Turkey,BB Erzurumspor,130K,LM
A. Cháves,26,Argentina,Club Atlético Colón,110K,CM
H. Campbell,22,England,Burton Albion,100K,GK
F. Myhre,19,Norway,Vålerenga Fotball,150K,CDM
I. Sauter,17,Switzerland,FC Zürich,180K,CB
M. Castaño,19,Colombia,La Equidad,190K,CAM
L. Ureta,19,Chile,CD O'Higgins,160K,GK
J. Ceesay,20,Sweden,Djurgårdens IF,150K,RM
J. Fischer,18,Netherlands,Excelsior,180K,CM
D. Pawłowski,19,Poland,Górnik Zabrze,120K,RB
J. Ball,22,England,Stevenage,130K,CM
M. Shinada,18,Japan,FC Tokyo,180K,CM
C. Lyon,26,United States,Los Angeles FC,80K,GK
Li Siqi,20,China PR,Beijing Sinobo Guoan FC,130K,CM
G. Pender,24,Republic of Ireland,Bray Wanderers,130K,LS
E. Crona,18,Sweden,Kalmar FF,190K,ST
M. Idzik,21,Poland,Miedź Legnica,140K,ST
L. Gelzleichter,18,Germany,SV Darmstadt 98,190K,ST
S. Kulenović,18,Croatia,Legia Warszawa,190K,ST
J. Talbot,21,Republic of Ireland,Bohemian FC,90K,GK
J. Hallam,19,England,Sheffield United,200K,ST
J. Olufsen,22,Norway,Ranheim Fotball,130K,LW
N. Al Harthi,19,Saudi Arabia,Al Wehda,190K,RM
J. Thompson,19,England,Coventry City,180K,CB
Long Wei,23,China PR,Henan Jianye FC,110K,CB
J. Valdeblánquez,20,Colombia,Rionegro Águilas,170K,RM
C. Núñez,20,Paraguay,Vélez Sarsfield,140K,CDM
S. Mallon,19,Republic of Ireland,Sheffield United,190K,LM
D. Tomii,28,Japan,Shonan Bellmare,70K,GK
K. Suzuki,22,Japan,Shonan Bellmare,130K,ST
M. Sopoćko,19,Poland,Lechia Gdańsk,170K,CAM
O. Al Suhaymi,25,Saudi Arabia,Al Faisaly,90K,CDM
D. Pierias,18,Australia,Melbourne City FC,170K,RB
R. Tsonev,23,Bulgaria,Lecce,120K,CM
C. Ellis,21,Republic of Ireland,Limerick FC,150K,ST
H. Finndell,18,Sweden,Djurgårdens IF,180K,CM
C. Cooper,21,England,Newport County,110K,CM
E. Maulana Vikri,17,Indonesia,Lechia Gdańsk,180K,CAM
D. Ingham,19,New Zealand,Brisbane Roar,130K,RB
A. Koiki,18,England,Burnley,100K,LB
S. Farsak,20,Turkey,Medipol Başakşehir FK,120K,CDM
I. Cameron,17,Scotland,Kilmarnock,180K,CF
P. Bird,19,Northern Ireland,Notts County,180K,CB
Y. Avcılar,19,Turkey,Medipol Başakşehir FK,180K,CB
Peng Rui,24,China PR,Tianjin TEDA FC,100K,LB
Yang Ke,29,China PR,Chongqing Dangdai Lifan FC SWM Team,90K,RM
R. Majecki,18,Poland,Legia Warszawa,150K,GK
S. Nakagawa,19,Japan,Kashiwa Reysol,180K,CB
R. Oates,23,England,Morecambe,120K,RM
P. Patron,20,France,Clermont Foot 63,90K,GK
P. Lewis,23,England,Cambridge United,120K,CM
R. Giles,18,England,Wolverhampton Wanderers,170K,LWB
S. Sohm,17,Switzerland,FC Zürich,160K,CDM
M. Wohlgemuth,23,Denmark,Vendsyssel FF,140K,CM
M. Żyro,19,Poland,Miedź Legnica,180K,CB
A. Al Arishi,23,Saudi Arabia,Al Shabab,120K,CB
Y. Mersin,23,Turkey,Crawley Town,100K,GK
S. Want,21,Scotland,Hamilton Academical FC,180K,CB
L. Grabovac,20,Austria,SKN St. Pölten,170K,LW
Liu Heng,22,China PR,Henan Jianye FC,120K,CB
S. Bojang,20,Norway,Sarpsborg 08 FF,140K,RB
L. Conlan,23,Northern Ireland,Morecambe,100K,LB
Liu Hao,22,China PR,Guizhou Hengfeng FC,120K,RM
J. Medina,20,Mexico,Querétaro,150K,CM
S. Giménez,17,Mexico,Cruz Azul,200K,ST
T. Francois,17,Australia,Fulham,180K,CAM
D. Kaneko,19,Japan,Shonan Bellmare,130K,RCM
D. van Kaam,18,Netherlands,FC Groningen,190K,CAM
F. Fischerauer,19,Austria,FC Admira Wacker Mödling,150K,CM
A. Hellborg,19,Sweden,Kalmar FF,190K,CM
B. Daniels,24,England,Port Vale,110K,LM
Zhou Qiming,23,China PR,Tianjin TEDA FC,100K,RB
D. Miya,22,Japan,Vissel Kobe,110K,CB
M. Nottingham,29,St Kitts Nevis,Blackpool,70K,RB
A. Abdulhameed,24,Saudi Arabia,Al Hazem,80K,GK
Y. Wakizaka,23,Japan,Kawasaki Frontale,120K,CM
M. Tapias,21,Mexico,Pachuca,120K,CB
R. Correa,18,Colombia,Independiente Medellín,190K,RM
O. Solbakken,19,Norway,Ranheim Fotball,150K,RW
A. Koljic,19,Germany,SC Fortuna Köln,140K,LB
J. Bennett,22,England,Sheffield United,100K,RWB
J. Nieva,19,Colombia,América de Cali,180K,CDM
H. Salem,20,Saudi Arabia,Ettifaq FC,140K,LB
E. Sandberg,18,Norway,Lillestrøm SK,170K,CB
F. Abo Bakr,21,Saudi Arabia,Ettifaq FC,140K,CB
T. Tanaka,20,Japan,Kashima Antlers,160K,CM
Zuo Yiteng,23,China PR,Changchun Yatai FC,120K,RB
W. Fitzgerald,19,Republic of Ireland,Limerick FC,140K,LM
K. Osako,18,Japan,Sanfrecce Hiroshima,120K,GK
Wei Zhen,21,China PR,Shanghai SIPG FC,120K,CB
A. Hudu,18,Ghana,Hammarby IF,160K,CM
J. Lalrinzuala,19,India,,0,LB
I. Pearce,19,England,Forest Green Rovers,160K,ST
R. Motegi,21,Japan,Urawa Red Diamonds,120K,CB
K. Cabral,18,France,Valenciennes FC,190K,LM
A. Majok,19,Kenya,Western Sydney Wanderers,170K,ST
R. Ito,20,Japan,Sagan Tosu,130K,LM
I. Ünal,20,Turkey,Alanyaspor,140K,GK
E. Chilufya,18,Zambia,Djurgårdens IF,190K,ST
Lee Joon Hee,24,Korea Republic,Gyeongnam FC,90K,GK
M. Stajduhar,20,United States,Orlando City SC,140K,GK
K. Fatkic,20,Slovenia,FC Thun,140K,CAM
A. Jakupović,20,Austria,Empoli,200K,ST
A. Eichhorn,19,Germany,SC Fortuna Köln,120K,RB
Yang Wanshun,22,China PR,Tianjin TEDA FC,140K,LW
Philippe,18,Brazil,FC Sion,190K,RS
Yang Fan,22,China PR,Tianjin TEDA FC,120K,RB
D. Pipe,34,Wales,Newport County,30K,RWB
K. Ichimi,20,Japan,Gamba Osaka,200K,ST
J. Ponticelli,19,England,Macclesfield Town,200K,ST
S. Ali Yahya,19,Saudi Arabia,Al Hazem,170K,RB
S. Brolin,17,Sweden,AIK,160K,GK
J. Pérez,18,Mexico,Club Atlas,190K,ST
A. Pearce,21,Australia,Central Coast Mariners,100K,GK
B. White,26,Australia,Brisbane Roar,80K,GK
B. Nygren,16,Sweden,IFK Göteborg,180K,ST
Yang Liyu,21,China PR,Guangzhou Evergrande Taobao FC,130K,RM
L. Davies,18,England,Cambridge United,130K,RB
F. Espinoza,20,Chile,CD Universidad de Concepción,160K,ST
Joan Luque,26,Spain,Lincoln City,110K,LM
R. Hoffmann,19,Germany,FC Bayern München,160K,GK
Z. Mills,26,England,Morecambe,90K,RB
H. Herrera,20,Chile,CD O'Higgins,140K,CM
A. Ajdarević,20,Albania,Örebro SK,130K,LW
Y. Uekusa,35,Japan,Shimizu S-Pulse,20K,GK
K. Rowles,20,Australia,Central Coast Mariners,180K,LWB
T. Hamilton,19,England,Hull City,190K,LM
K. Ito,19,Japan,Shimizu S-Pulse,120K,LB
C. O'Toole,20,Australia,Brisbane Roar,140K,LB
E. Moran,21,Republic of Ireland,Bray Wanderers,120K,GK
I. Koné,19,Mali,FK Haugesund,200K,ST
K. Awuah,22,Canada,New York City FC,130K,CM
L. Ashby-Hammond,17,England,Fulham,150K,GK
N. Marfelt,23,Denmark,SønderjyskE,110K,LB
T. Chakwana,19,England,Burnley,130K,RM
F. Schram,23,Iceland,,0,GK
D. Daly,20,Republic of Ireland,Waterford FC,140K,LB
S. Pedersen,19,Norway,Strømsgodset IF,150K,ST
M. Al Hamad,19,Saudi Arabia,Al Batin,160K,ST
O. Ünlüçifçi,21,Germany,FC Würzburger Kickers,150K,RM
A. Hoven,20,Norway,Strømsgodset IF,170K,RM
C. Zuvela,21,Australia,Sydney FC,150K,CM
O. Christensen,19,Denmark,Odense Boldklub,120K,GK
D. Breitfelder,21,Germany,VfL Sportfreunde Lotte,150K,ST
G. Vetti,19,Norway,Sarpsborg 08 FF,140K,CM
L. Robles,21,England,Grimsby Town,160K,ST
M. Miño,20,Argentina,Rosario Central,160K,GK
W. Le Pogam,25,France,Neuchâtel Xamax,90K,LB
N. Mbo,19,DR Congo,Gillingham,120K,ST
Lee Kwang Jin,26,Korea Republic,Gyeongnam FC,90K,CDM
S. Abifade,18,Germany,Eintracht Braunschweig,200K,LW
C. Lokoli-Ngoy,21,Australia,Sydney FC,180K,ST
E. Bijlsma,19,Netherlands,FC Emmen,150K,CM
D. Hayes,23,Republic of Ireland,Bray Wanderers,100K,RB
M. Śliwa,17,Poland,Wisła Kraków,180K,CAM
S. Moore,23,England,Milton Keynes Dons,90K,GK
Y. Takeda,31,Japan,Nagoya Grampus,50K,GK
J. Kavanagh,23,Republic of Ireland,Cork City,100K,RB
Kim Tae Ho,26,Korea Republic,Daegu FC,80K,GK
R. Vinderslev,20,Denmark,SønderjyskE,150K,CM
A. Nurudeen,19,Ghana,KAS Eupen,140K,GK
T. Damsgaard,20,Denmark,Randers FC,130K,RB
K. Henry,18,England,Yeovil Town,150K,ST
Zhu Xiaogang,30,China PR,Dalian YiFang FC,70K,CDM
A. Kuruniyan,21,India,,0,LW
R. Batlokwa,20,Botswana,Southend United,160K,CM
B. Leneis,19,Germany,FC Augsburg,120K,GK
M. Blair,18,England,Burnley,130K,LM
Lee Hyun Sik,22,Korea Republic,Gangwon FC,130K,CM
J. Etou,24,France,AS Béziers,120K,LDM
Cui Ming'an,23,China PR,Dalian YiFang FC,110K,LDM
D. López,18,Mexico,Club Tijuana,140K,ST
P. Pierzchała,19,Poland,Korona Kielce,120K,CB
O. Al Owdah,19,Saudi Arabia,Al Fayha,170K,RB
A. Thurgate,18,Australia,Newcastle Jets,160K,CM
Y. Magnin,21,France,Clermont Foot 63,130K,CM
A. Al Enazi,21,Saudi Arabia,Al Faisaly,120K,RB
C. Clifford,26,Republic of Ireland,St. Patrick's Athletic,100K,CM
T. Hagelskjaer,23,Denmark,Vejle Boldklub,100K,GK
N. Rodes,20,Belgium,Sporting de Charleroi,140K,CDM
L. Mirwa,23,South Africa,Kaizer Chiefs,110K,LB
W. Altamirano,20,Argentina,Belgrano de Córdoba,130K,CM
Ko Jae Hyun,19,Korea Republic,Daegu FC,190K,RM
O. Evans,21,Wales,Wigan Athletic,130K,GK
Lü Peng,28,China PR,Beijing Sinobo Guoan FC,90K,CM
Xu Yougang,22,China PR,Shanghai Greenland Shenhua FC,120K,RB
Sun Guowen,24,China PR,Dalian YiFang FC,110K,LM
S. Alzate,19,England,Swindon Town,160K,LCM
M. Steinwender,18,Austria,SV Mattersburg,170K,CB
H. Cardwell,21,Scotland,Grimsby Town,130K,ST
M. Vantruba,20,Slovakia,SK Slavia Praha,160K,GK
H. Wilder,18,England,Mansfield Town,170K,LB
B. Delihasan,19,Turkey,Çaykur Rizespor,180K,CDM
D. Puster,19,Austria,FC Admira Wacker Mödling,160K,RM
H. Tombakti,19,Saudi Arabia,Al Shabab,180K,CB
L. Gibbens,17,England,Mansfield Town,160K,CB
G. Kostadinov,27,Bulgaria,,0,LDM
L. Perea,32,Colombia,La Equidad,70K,ST
A. Ogalde,21,Chile,Universidad Católica,100K,GK
M. Bersano,25,United States,San Jose Earthquakes,90K,GK
I. Olaofe,18,England,Millwall,150K,ST
D. Barnett,21,Republic of Ireland,Waterford FC,120K,LB
R. Ferguson,20,Scotland,Motherwell,140K,GK
F. Domínguez,20,Uruguay,Racing Club,140K,CM
N. Vitré,20,France,Clermont Foot 63,140K,CB
H. Al Sibyani,19,Saudi Arabia,Al Ahli,110K,LB
M. Shabow,20,Australia,Central Coast Mariners,140K,LM
A. Famewo,19,England,Grimsby Town,130K,CB
W. Tomlinson,20,England,Blackburn Rovers,140K,CM
O. Al Zayni,22,Saudi Arabia,Al Ahli,110K,CDM
A. Linnér,19,Sweden,AIK,160K,ST
A. Tarmin,21,Saudi Arabia,Al Ahli,140K,RB
J. Roberts,17,Australia,Western Sydney Wanderers,180K,ST
K. Horgan,21,Republic of Ireland,Shamrock Rovers,90K,GK
J. Tibbetts,19,England,Peterborough United,110K,GK
R. Balanta,25,Colombia,América de Cali,120K,ST
D. Arias,18,Chile,Club Deportes Temuco,160K,ST
W. Huffer,19,England,Leeds United,160K,GK
Yan Zhiyu,25,China PR,Changchun Yatai FC,100K,LB
W. Hanssen,20,Norway,FK Bodø/Glimt,130K,ST
M. Al Thani,21,Saudi Arabia,Al Faisaly,140K,RM
Montes,20,Spain,Girona FC,120K,CB
N. Khalifa,22,Saudi Arabia,Al Qadisiyah,120K,RB
A. Fisher,20,England,Blackburn Rovers,100K,GK
C. Lindley,20,United States,Orlando City SC,190K,CM
M. Borgogno,19,Argentina,Vélez Sarsfield,160K,GK
H. Al Shaie,20,Saudi Arabia,Al Hazem,150K,ST
G. Haag,18,France,AS Nancy Lorraine,160K,CDM
C. McVey,21,Sweden,IF Elfsborg,110K,RB
I. Ibañez,21,Chile,CD Everton de Viña del Mar,110K,RB
H. Sobol,18,Poland,Lech Poznań,140K,ST
Cristian Arco,23,Spain,Cádiz CF,90K,GK
G. Satalino,19,Italy,Sassuolo,160K,GK
A. Diaz,18,Chile,CD O'Higgins,180K,LW
M. Hauptmann,18,Germany,SG Dynamo Dresden,180K,RM
S. Kelly,28,Republic of Ireland,Limerick FC,70K,RB
K. Zobeck,28,United States,FC Dallas,60K,GK
G. McDonagh,20,Republic of Ireland,Barnsley,150K,ST
D. Bielica,19,Poland,Górnik Zabrze,160K,GK
M. Akjah,20,Saudi Arabia,Al Wehda,160K,GK
R. Sandford,19,England,Millwall,130K,GK
R. Slater,18,England,Carlisle United,140K,RCM
A. Al Nassar,26,Saudi Arabia,Al Nassr,100K,LM
A. Al Shehry,22,Saudi Arabia,Al Qadisiyah,90K,GK
M. Kristensen,25,Denmark,AC Horsens,120K,ST
E. Wearen,25,Republic of Ireland,Limerick FC,90K,RCM
M. Solberg,23,Denmark,Vendsyssel FF,120K,ST
Gianluca Zanette,21,Brazil,Vejle Boldklub,120K,GK
T. Bloor,18,England,Mansfield Town,160K,RWB
V. Arzayus,26,Colombia,Boyacá Chicó FC,110K,ST
M. Kaastrup,17,Denmark,Aarhus GF,180K,LM
J. Sinclair,30,England,Morecambe,60K,RB
P. Gueye,19,France,Le Havre AC,170K,CDM
M. Godoy,21,Chile,CD Huachipato,160K,RW
J. Łoś,17,Poland,Arka Gdynia,200K,ST
S. Gussiås,18,Norway,Molde FK,150K,ST
G. Piras,19,Italy,SK Sturm Graz,170K,CB
J. Sowerby,23,England,Carlisle United,120K,RB
Taliby,21,Spain,CD Numancia,100K,GK
P. Waring,19,Japan,Cerezo Osaka,120K,ST
A. Agouda,19,Norway,Stabæk Fotball,190K,ST
T. Mitchell,18,England,Crystal Palace,160K,LB
H. Acar,23,Turkey,Kayserispor,130K,CM
K. Ahmadi,19,Sweden,IK Sirius,140K,LM
B. Maher,17,Republic of Ireland,St. Patrick's Athletic,140K,GK
A. Al Shammari,19,Saudi Arabia,Al Shabab,150K,CAM
A. Haroon,19,Saudi Arabia,Al Shabab,120K,CB
R. Edmonds-Green,19,England,Huddersfield Town,170K,CB
N. Sheron,20,England,Fleetwood Town,180K,CB
S. Baptiste,20,England,Oxford United,190K,CM
M. El Idrissy,19,France,AC Ajaccio,190K,ST
C. Goddard,21,Japan,Benevento,190K,CAM
B. Leiva,20,Chile,Universidad Católica,140K,LW
R. Kamber,22,Switzerland,Grasshopper Club Zürich,150K,ST
M. Valenta,18,Czech Republic,SK Slavia Praha,180K,CM
